"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Mike Ford","Yankees","23.5%","60.7%","37.6%","59.6%","87.8%","76.9%","37.9%","51.2%","8.7%","15585"
"Matt Olson","Athletics","23.5%","69.2%","42.5%","55.1%","74.3%","68.1%","41.5%","53.1%","13.6%","14344"
"Brian Goodwin","- - -","23.7%","59.8%","39.9%","50.6%","77.6%","68.8%","44.9%","57.3%","12.5%","12858"
"Austin Slater","Giants","23.7%","65.4%","41.3%","61.0%","83.2%","75.8%","42.2%","69.2%","10.0%","16153"
"Jacob Stallings","Pirates","23.9%","61.4%","38.5%","54.4%","88.5%","75.6%","39.0%","58.0%","9.4%","13723"
"Kyle Seager","Mariners","23.9%","63.8%","40.3%","64.7%","88.1%","79.9%","41.0%","53.6%","8.1%","9785"
"Chance Sisco","Orioles","24.1%","71.8%","43.3%","46.8%","73.5%","64.7%","40.3%","58.7%","15.3%","15694"
"Eric Sogard","Brewers","24.1%","56.0%","37.5%","85.7%","97.4%","93.0%","41.9%","66.4%","2.6%","7927"
"Tony Kemp","Athletics","24.2%","69.2%","43.1%","75.4%","91.6%","86.4%","42.2%","63.2%","5.9%","14894"
"Sean Murphy","Athletics","24.2%","65.4%","40.9%","60.7%","86.5%","77.4%","40.6%","51.4%","9.2%","19352"
"Marcus Semien","Athletics","24.3%","70.5%","44.0%","68.6%","83.4%","78.8%","42.7%","62.7%","9.3%","12533"
"J.P. Crawford","Mariners","24.6%","60.9%","41.0%","70.6%","89.1%","83.0%","45.1%","53.0%","7.0%","15491"
"Garrett Hampson","Rockies","24.6%","64.2%","42.5%","49.0%","83.9%","72.9%","45.2%","63.6%","11.5%","19262"
"Jordan Luplow","Indians","24.7%","71.6%","43.0%","71.7%","89.2%","83.0%","38.9%","51.1%","7.3%","16424"
"Anthony Bemboom","Angels","24.8%","59.4%","41.3%","69.0%","88.9%","82.6%","47.5%","61.7%","7.2%","13854"
