"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Logan Forsythe","Rangers","15.3%","53.6%","32.6%","63.6%","86.1%","80.3%","45.2%","59.9%","6.4%","7185"
"Cavan Biggio","Blue Jays","15.8%","63.3%","35.9%","47.1%","85.6%","75.9%","42.3%","56.0%","8.7%","19252"
"Alex Avila","Diamondbacks","16.7%","59.4%","35.2%","40.7%","75.1%","65.9%","43.4%","51.2%","12.0%","7476"
"Andrew McCutchen","Phillies","17.7%","56.6%","35.5%","58.0%","83.1%","76.3%","45.7%","54.6%","8.4%","9847"
"Greg Garcia","Padres","18.5%","53.5%","33.8%","69.7%","94.1%","86.6%","43.8%","57.0%","4.5%","10951"
"Alex Bregman","Astros","18.8%","58.8%","35.1%","77.0%","91.7%","87.0%","40.6%","55.2%","4.6%","17678"
"Robbie Grossman","Athletics","18.9%","63.7%","38.2%","70.0%","91.8%","85.7%","43.2%","59.3%","5.5%","5254"
"Chris Iannetta","Rockies","19.2%","71.3%","43.0%","38.6%","76.3%","67.1%","45.7%","60.4%","14.1%","8267"
"Tommy Pham","Rays","19.9%","63.0%","38.4%","62.6%","88.6%","80.9%","42.8%","58.3%","7.3%","2967"
"Brandon Nimmo","Mets","20.0%","65.8%","40.3%","52.1%","83.6%","74.9%","44.4%","57.5%","10.1%","12927"
"Mitch Garver","Twins","20.0%","55.6%","35.0%","54.9%","88.0%","77.0%","41.9%","56.3%","8.1%","15161"
"Myles Straw","Astros","20.5%","55.5%","35.6%","80.3%","91.9%","88.1%","43.2%","56.3%","4.2%","17620"
"Mike Trout","Angels","20.5%","61.2%","36.8%","69.2%","88.8%","82.3%","40.1%","52.5%","6.5%","10155"
"Russell Martin","Dodgers","20.6%","63.3%","40.3%","45.8%","85.9%","74.9%","46.2%","62.7%","10.1%","4616"
"Derek Fisher","- - -","20.6%","60.6%","37.2%","40.7%","76.8%","65.1%","41.3%","58.1%","13.0%","16192"
"Zack Collins","White Sox","20.8%","66.2%","40.6%","50.9%","71.8%","65.8%","43.7%","54.9%","13.9%","19181"
"Matt Thaiss","Angels","21.0%","75.6%","45.1%","57.8%","75.2%","70.7%","44.3%","60.4%","13.2%","19318"
"Joey Votto","Reds","21.0%","68.1%","41.5%","69.3%","87.7%","82.4%","43.4%","59.0%","7.3%","4314"
"Carlos Santana","Indians","21.2%","66.2%","39.3%","66.2%","87.6%","80.7%","40.4%","54.4%","7.6%","2396"
"Mookie Betts","Red Sox","21.4%","61.5%","38.3%","71.9%","93.7%","86.6%","42.3%","55.1%","5.1%","13611"
"Dustin Garneau","- - -","21.4%","69.9%","46.3%","64.3%","89.6%","83.9%","51.2%","67.3%","7.5%","9433"
"Daniel Descalso","Cubs","21.9%","63.5%","40.0%","50.5%","82.3%","72.5%","43.5%","58.2%","11.0%","8392"
"Zack Cozart","Angels","21.9%","62.6%","42.8%","59.5%","92.9%","84.6%","51.4%","55.1%","6.6%","2616"
"Daniel Vogelbach","Mariners","22.0%","52.2%","34.1%","64.4%","81.1%","74.6%","40.0%","52.0%","8.6%","14130"
"Trent Grisham","Brewers","22.0%","58.3%","38.2%","62.0%","86.8%","78.9%","44.7%","55.7%","8.1%","18564"
"Austin Barnes","Dodgers","22.2%","59.5%","39.3%","63.7%","87.1%","79.9%","45.7%","63.2%","7.9%","12158"
"Brian Dozier","Nationals","22.3%","62.2%","39.1%","61.0%","84.7%","76.8%","42.1%","56.0%","9.0%","9810"
"Ben Zobrist","Cubs","22.6%","55.1%","34.6%","77.2%","90.3%","85.0%","37.0%","60.8%","5.2%","7435"
"J.P. Crawford","Mariners","22.6%","67.1%","42.9%","68.2%","86.3%","81.1%","45.7%","60.6%","8.1%","15491"
"Jordan Luplow","Indians","22.7%","75.2%","44.7%","59.6%","82.6%","75.9%","42.0%","56.7%","10.8%","16424"
"Shin-Soo Choo","Rangers","22.7%","65.9%","41.9%","50.3%","81.4%","72.0%","44.4%","59.2%","11.7%","3174"
"Matt Carpenter","Cardinals","22.8%","63.6%","40.2%","60.3%","84.0%","76.3%","42.7%","54.7%","9.5%","8090"
"Mike Tauchman","Yankees","22.8%","70.2%","43.1%","67.9%","85.8%","80.4%","42.8%","59.5%","8.5%","15274"
"George Springer","Astros","22.8%","72.1%","44.0%","56.5%","82.7%","75.0%","43.0%","61.3%","11.0%","12856"
"Curt Casali","Reds","22.9%","71.4%","43.1%","56.3%","88.2%","78.3%","41.8%","57.6%","9.4%","12510"
"Justin Smoak","Blue Jays","23.0%","64.9%","39.7%","58.3%","87.5%","77.3%","39.8%","53.2%","9.0%","9054"
