"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Garrett Hampson","Rockies","23.0%","60.6%","39.6%","59.9%","88.2%","79.0%","44.0%","56.6%","8.3%","19262"
"Marcus Semien","Athletics","23.0%","68.7%","42.1%","68.3%","89.6%","82.9%","41.8%","63.2%","7.2%","12533"
"Kendrys Morales","- - -","23.1%","61.9%","39.5%","71.2%","92.7%","85.4%","42.3%","57.2%","5.8%","8610"
"Max Muncy","Dodgers","23.1%","64.0%","39.9%","59.0%","81.2%","73.6%","41.1%","55.0%","10.5%","13301"
"Juan Soto","Nationals","23.4%","68.6%","40.8%","62.1%","86.6%","77.9%","38.5%","55.5%","9.0%","20123"
"Joe Panik","- - -","23.7%","66.6%","41.9%","82.4%","94.0%","90.2%","42.4%","55.8%","4.1%","11936"
"Anthony Rendon","Nationals","23.8%","70.1%","43.1%","77.8%","93.2%","88.3%","41.8%","57.6%","5.1%","12861"
"Matt Duffy","Rays","23.9%","61.8%","39.4%","67.4%","91.2%","82.6%","40.9%","60.4%","6.8%","13836"
"Mike Ford","Yankees","23.9%","63.1%","40.1%","63.0%","88.3%","79.5%","41.3%","59.5%","8.2%","15585"
"Rhys Hoskins","Phillies","24.0%","61.0%","39.2%","68.1%","84.0%","78.2%","41.0%","54.0%","8.5%","16472"
"Ji-Man Choi","Rays","24.1%","68.0%","42.7%","58.2%","84.4%","75.9%","42.4%","61.4%","10.3%","5452"
"Joey Gallo","Rangers","24.2%","65.5%","40.7%","35.8%","73.1%","59.8%","39.9%","52.2%","16.4%","14128"
"Roberto Perez","Indians","24.2%","61.5%","39.5%","55.5%","79.5%","70.8%","41.0%","58.1%","11.5%","2900"
"Yasmani Grandal","Brewers","24.4%","59.5%","38.4%","63.3%","84.1%","76.2%","39.9%","57.0%","9.1%","11368"
"Chance Sisco","Orioles","24.4%","70.2%","43.1%","58.5%","79.6%","72.6%","40.9%","58.6%","11.8%","15694"
"Curtis Granderson","Marlins","24.5%","61.0%","39.7%","60.4%","86.4%","77.0%","41.5%","62.3%","9.1%","4747"
"Aaron Judge","Yankees","24.6%","68.1%","41.9%","40.3%","78.6%","65.1%","39.8%","61.3%","14.6%","15640"
"Austin Slater","Giants","24.7%","65.7%","42.1%","51.8%","79.0%","69.8%","42.5%","55.2%","12.7%","16153"
"Delino DeShields","Rangers","24.7%","63.1%","41.8%","61.6%","88.5%","79.6%","44.5%","62.5%","8.5%","11379"
"Jesse Winker","Reds","24.7%","68.5%","44.1%","71.9%","89.2%","83.8%","44.2%","56.3%","7.2%","13590"
"Jarrod Dyson","Diamondbacks","24.7%","65.6%","42.4%","64.9%","87.5%","80.0%","43.1%","55.1%","8.5%","4866"
"Matt Chapman","Athletics","24.8%","65.0%","42.0%","67.5%","83.5%","78.1%","42.8%","57.5%","9.2%","16505"
"Brett Gardner","Yankees","24.8%","56.0%","38.3%","67.6%","91.2%","82.6%","43.5%","53.5%","6.7%","9927"
"Francisco Cervelli","- - -","24.8%","63.7%","42.3%","54.0%","87.5%","76.8%","45.2%","65.6%","9.8%","5275"
"Austin Nola","Mariners","24.8%","63.5%","42.4%","60.6%","87.5%","78.9%","45.5%","60.3%","9.0%","15941"
"Mitch Haniger","Mariners","24.9%","63.8%","42.5%","53.6%","83.8%","74.1%","45.3%","58.7%","11.0%","14274"
"Will Smith","Dodgers","24.9%","65.2%","42.5%","56.9%","86.4%","76.7%","43.7%","61.2%","9.9%","19197"
"Clint Frazier","Yankees","25.0%","70.3%","44.1%","43.3%","82.7%","69.8%","42.1%","58.1%","13.3%","15983"
"Mark Canha","Athletics","25.0%","61.4%","40.4%","70.6%","83.8%","79.1%","42.4%","60.4%","8.5%","11445"
"Jon Berti","Marlins","25.0%","63.1%","41.6%","60.6%","85.7%","77.2%","43.6%","62.0%","9.5%","12037"
"Manuel Margot","Padres","25.0%","66.3%","43.1%","65.2%","87.4%","80.2%","43.9%","60.1%","8.5%","14712"
"Carson Kelly","Diamondbacks","25.0%","64.3%","41.8%","64.0%","86.8%","79.0%","42.7%","56.4%","8.8%","13620"
"Josh VanMeter","Reds","25.0%","58.6%","39.7%","66.2%","86.1%","79.0%","43.6%","57.7%","8.3%","15170"
"Aaron Hicks","Yankees","25.1%","65.6%","40.7%","55.8%","78.2%","69.7%","38.6%","55.3%","12.3%","5297"
"Jason Castro","Twins","25.2%","70.9%","45.2%","50.6%","72.2%","65.4%","43.8%","55.6%","15.6%","8722"
"David Fletcher","Angels","25.3%","48.7%","36.2%","82.6%","96.1%","91.1%","46.5%","55.6%","3.2%","17992"
"Dexter Fowler","Cardinals","25.3%","68.6%","42.5%","62.3%","82.4%","75.2%","39.7%","59.9%","10.6%","4062"
"Yandy Diaz","Rays","25.3%","72.6%","44.9%","65.5%","86.0%","79.3%","41.5%","60.5%","9.3%","16578"
"Ben Gamel","Brewers","25.5%","59.9%","40.1%","59.0%","90.1%","78.7%","42.4%","58.7%","8.5%","12160"
"Matt Joyce","Braves","25.5%","68.5%","42.7%","65.4%","82.5%","76.3%","40.0%","54.2%","10.1%","3353"
"Jake Bauers","Indians","25.6%","65.7%","41.9%","62.9%","86.5%","78.0%","40.6%","55.8%","9.2%","15194"
"Roman Quinn","Phillies","25.6%","63.1%","42.5%","47.6%","83.6%","71.7%","45.2%","68.0%","12.0%","13546"
"Josh Donaldson","Braves","25.7%","71.8%","43.8%","62.4%","76.6%","71.5%","39.3%","58.4%","12.5%","5038"
"Sean Rodriguez","Phillies","25.8%","71.7%","43.7%","49.5%","78.8%","68.2%","38.9%","62.6%","13.9%","6589"
"Isan Diaz","Marlins","25.9%","57.3%","37.7%","58.6%","84.7%","73.5%","37.4%","55.7%","10.0%","17922"
"Tommy La Stella","Angels","26.0%","58.7%","41.7%","82.2%","93.5%","89.9%","48.1%","62.0%","4.2%","12371"
"Ryan Goins","White Sox","26.3%","59.0%","39.8%","66.3%","80.5%","75.0%","41.2%","52.1%","9.9%","9807"
"Nick Solak","Rangers","26.3%","64.8%","42.2%","64.7%","88.4%","79.7%","41.3%","58.5%","8.5%","19294"
"Kevin Plawecki","Indians","26.3%","71.6%","46.7%","71.3%","87.1%","82.2%","45.0%","62.1%","8.3%","13807"
"Jose Ramirez","Indians","26.4%","64.2%","42.3%","76.8%","92.3%","86.7%","42.1%","56.6%","5.6%","13510"
"Dylan Moore","Mariners","26.4%","67.0%","44.0%","61.5%","81.3%","74.6%","43.3%","59.9%","11.2%","18042"
"Keon Broxton","- - -","26.4%","67.7%","44.9%","39.7%","65.4%","57.1%","44.9%","69.3%","19.3%","9253"
"Kyle Schwarber","Cubs","26.4%","66.8%","43.0%","60.3%","81.6%","73.9%","41.1%","55.6%","11.2%","16478"
"Domingo Santana","Mariners","26.4%","71.7%","46.7%","51.9%","78.1%","69.9%","44.9%","62.1%","14.1%","10348"
"Mark Reynolds","Rockies","26.4%","68.9%","44.5%","40.6%","75.9%","63.9%","42.6%","61.7%","16.1%","7619"
"Eric Sogard","- - -","26.5%","55.7%","38.8%","83.1%","93.2%","89.3%","42.4%","58.8%","4.2%","7927"
"Nick Martini","- - -","26.5%","59.5%","40.6%","78.9%","84.0%","82.1%","42.7%","55.0%","7.3%","12005"
"Luke Voit","Yankees","26.6%","78.6%","47.4%","44.2%","78.1%","66.7%","40.1%","59.8%","15.8%","14811"
"Eugenio Suarez","Reds","26.6%","68.6%","44.4%","51.3%","84.6%","73.1%","42.3%","61.8%","12.0%","12552"
"Chris Davis","Orioles","26.7%","59.9%","40.4%","41.4%","76.6%","62.9%","41.2%","55.1%","15.0%","9272"
"Ronald Acuna Jr.","Braves","26.7%","71.5%","45.3%","63.2%","80.0%","74.2%","41.6%","61.4%","11.7%","18401"
"Justin Upton","Angels","26.7%","65.0%","43.2%","48.8%","79.4%","68.6%","43.0%","61.3%","13.6%","5222"
"Brandon Belt","Giants","26.8%","75.0%","46.0%","66.7%","86.8%","79.8%","39.9%","58.3%","9.3%","10264"
"Cody Bellinger","Dodgers","26.8%","70.4%","44.4%","69.5%","83.0%","78.1%","40.4%","53.9%","9.7%","15998"
"Luis Urias","Padres","26.8%","61.5%","42.0%","69.0%","83.8%","78.5%","43.9%","60.2%","9.0%","16622"
"Jake Lamb","Diamondbacks","26.8%","64.3%","42.0%","56.7%","86.1%","74.9%","40.5%","55.8%","10.5%","13329"
"Luis Arraez","Twins","26.9%","62.1%","42.0%","89.5%","95.4%","93.3%","42.8%","55.2%","2.8%","18568"
"Guillermo Heredia","Rays","26.9%","74.7%","47.3%","61.3%","81.5%","74.9%","42.6%","64.9%","11.9%","18721"
"Jonathan Lucroy","- - -","27.0%","54.2%","39.2%","76.5%","92.7%","86.6%","45.1%","62.8%","5.3%","7870"
"Pedro Severino","Orioles","27.0%","70.2%","43.7%","60.2%","88.5%","77.8%","38.8%","57.2%","9.7%","14523"
"Josh Rojas","Diamondbacks","27.1%","67.3%","43.4%","64.1%","78.3%","73.0%","40.6%","58.6%","11.7%","19734"
"Jorge Soler","Royals","27.1%","70.7%","44.0%","47.1%","83.7%","69.9%","38.8%","61.3%","13.2%","14221"
"Cameron Maybin","Yankees","27.3%","63.4%","41.9%","57.7%","83.0%","73.2%","40.5%","60.2%","11.2%","5223"
"Shed Long","Mariners","27.3%","68.0%","45.2%","63.4%","82.8%","76.3%","44.0%","64.3%","10.7%","16542"
"Michael Conforto","Mets","27.3%","72.3%","45.7%","63.4%","81.8%","75.3%","40.8%","60.0%","11.3%","16376"
"Lucas Duda","Royals","27.3%","67.0%","44.7%","56.3%","82.5%","73.5%","44.0%","61.3%","11.9%","2502"
"Meibrys Viloria","Royals","27.3%","65.1%","44.6%","56.8%","79.1%","71.7%","45.8%","60.8%","12.6%","17109"
"Brock Holt","Red Sox","27.3%","60.7%","42.0%","71.7%","90.8%","83.8%","44.0%","60.7%","6.8%","9345"
"Austin Meadows","Rays","27.4%","62.2%","42.2%","63.2%","87.9%","78.6%","42.5%","60.9%","9.0%","15672"
"Nick Markakis","Braves","27.4%","61.6%","41.8%","84.2%","91.6%","88.8%","42.1%","57.1%","4.7%","5930"
"Travis Shaw","Brewers","27.5%","68.9%","44.6%","60.5%","76.6%","70.8%","41.2%","55.9%","13.0%","11982"
"Willy Adames","Rays","27.5%","70.3%","46.9%","57.1%","84.5%","75.7%","45.3%","62.8%","11.4%","15986"
"Kyle Seager","Mariners","27.6%","70.1%","45.3%","66.9%","88.2%","80.6%","41.7%","59.1%","8.8%","9785"
"J.D. Davis","Mets","27.7%","74.9%","48.9%","65.8%","78.6%","74.6%","44.9%","62.3%","12.4%","16219"
"Mike Freeman","Indians","27.7%","62.2%","44.0%","64.5%","84.6%","77.9%","47.0%","63.8%","9.7%","11241"
"Pablo Reyes","Pirates","27.7%","68.4%","44.8%","70.3%","85.0%","79.7%","41.9%","58.0%","9.1%","16357"
"Aledmys Diaz","Astros","27.8%","68.0%","45.1%","62.2%","92.0%","81.6%","43.0%","57.5%","8.3%","15937"
"Rio Ruiz","Orioles","27.8%","71.9%","46.7%","62.5%","84.9%","77.3%","42.8%","63.0%","10.6%","14103"
"Brad Miller","- - -","27.8%","71.5%","45.5%","58.7%","79.6%","72.0%","40.5%","55.9%","12.7%","12775"
"Victor Caratini","Cubs","27.9%","71.1%","45.9%","60.0%","89.1%","78.8%","41.8%","60.9%","9.7%","14968"
"Dansby Swanson","Braves","27.9%","70.4%","45.8%","59.2%","82.5%","74.3%","42.2%","56.3%","11.8%","18314"
"D.J. Stewart","Orioles","27.9%","73.6%","47.4%","61.5%","82.6%","75.5%","42.6%","59.9%","11.6%","17766"
"Max Stassi","- - -","27.9%","63.5%","45.4%","43.0%","81.6%","69.6%","49.2%","61.9%","13.8%","10059"
"Miguel Sano","Twins","27.9%","68.0%","43.6%","42.8%","77.2%","63.8%","39.1%","56.5%","15.8%","12164"
"Jake Rogers","Tigers","28.0%","62.2%","43.1%","50.6%","82.0%","70.6%","44.2%","60.9%","12.7%","19452"
"Lorenzo Cain","Brewers","28.0%","66.6%","44.7%","66.3%","91.4%","82.5%","43.3%","60.4%","7.8%","9077"
"Justin Turner","Dodgers","28.1%","67.6%","45.4%","76.1%","89.0%","84.5%","43.9%","58.7%","7.0%","5235"
"Harrison Bader","Cardinals","28.2%","58.3%","41.2%","60.8%","85.1%","75.6%","43.1%","60.8%","10.0%","18030"
"Luis Rengifo","Angels","28.2%","64.3%","44.3%","64.6%","82.5%","76.2%","44.7%","56.4%","10.5%","19858"
"Tyler White","- - -","28.2%","61.2%","41.4%","68.2%","85.3%","78.3%","40.0%","56.6%","9.0%","15564"
"Brian Goodwin","Angels","28.2%","59.4%","42.0%","61.3%","82.0%","74.3%","44.4%","59.0%","10.8%","12858"
"Adam Eaton","Nationals","28.2%","63.2%","43.1%","72.3%","91.4%","84.2%","42.7%","57.9%","6.8%","11205"
"Christian Walker","Diamondbacks","28.2%","78.0%","48.7%","58.0%","81.9%","73.8%","41.2%","58.9%","12.8%","13419"
"Rosell Herrera","Marlins","28.2%","66.7%","42.8%","47.1%","82.8%","68.1%","37.8%","50.4%","13.6%","11611"
"Edwin Encarnacion","- - -","28.2%","66.4%","43.6%","66.9%","81.7%","76.0%","40.2%","56.6%","10.5%","2151"
"Daniel Robertson","Rays","28.4%","67.6%","45.2%","62.0%","88.7%","79.2%","43.0%","65.0%","9.4%","14145"
"Bryan Holaday","Marlins","28.5%","67.1%","44.4%","66.7%","90.6%","81.6%","41.2%","58.1%","8.2%","11287"
"Steven Duggar","Giants","28.5%","68.8%","46.6%","57.9%","84.5%","75.5%","44.8%","66.5%","11.4%","17719"
"Tony Wolters","Rockies","28.5%","65.4%","44.6%","65.1%","92.3%","82.4%","43.5%","60.8%","7.8%","11470"
"Todd Frazier","Mets","28.5%","63.6%","42.7%","60.9%","85.8%","75.9%","40.5%","55.7%","10.3%","785"
"Jorge Polanco","Twins","28.5%","67.2%","44.6%","71.9%","90.7%","83.6%","41.6%","59.5%","7.3%","13152"
"Cam Gallagher","Royals","28.6%","61.5%","42.7%","63.8%","94.1%","82.5%","42.9%","61.3%","7.5%","12981"
"Matt Olson","Athletics","28.6%","67.6%","45.1%","68.6%","78.7%","75.0%","42.5%","55.8%","11.3%","14344"
"Wil Myers","Padres","28.7%","64.7%","43.8%","54.6%","77.6%","68.9%","42.0%","63.9%","13.6%","10047"
"Asdrubal Cabrera","- - -","28.8%","67.1%","45.3%","70.5%","87.3%","81.2%","43.1%","58.0%","8.5%","4962"
"Jordy Mercer","Tigers","28.9%","58.0%","41.5%","65.0%","89.3%","79.7%","43.3%","60.1%","8.4%","6547"
"Omar Narvaez","Mariners","28.9%","72.3%","47.7%","72.9%","83.0%","79.6%","43.3%","60.2%","9.8%","13338"
"Billy Hamilton","- - -","29.0%","66.7%","46.4%","64.4%","85.6%","78.5%","46.1%","63.2%","10.0%","10199"
"Jurickson Profar","Athletics","29.0%","68.9%","45.2%","68.4%","89.6%","81.5%","40.7%","57.3%","8.3%","10815"
"Kole Calhoun","Angels","29.0%","75.2%","48.1%","48.5%","80.9%","69.5%","41.4%","59.3%","14.7%","11200"
"Ian Kinsler","Padres","29.2%","70.5%","47.6%","70.9%","87.4%","81.7%","44.5%","63.3%","8.7%","6195"
"Ryan McMahon","Rockies","29.2%","76.7%","49.5%","54.5%","78.3%","70.3%","42.8%","62.7%","14.7%","15112"
"Mike Yastrzemski","Giants","29.2%","69.4%","47.1%","64.2%","81.5%","75.5%","44.4%","61.6%","11.5%","14854"
"Michael Brantley","Astros","29.2%","61.5%","43.7%","82.3%","95.8%","90.8%","44.9%","60.0%","4.0%","4106"
"Jose Martinez","Cardinals","29.3%","62.0%","43.2%","66.9%","86.2%","78.7%","42.6%","57.6%","9.2%","7996"
"David Freese","Dodgers","29.3%","64.6%","44.8%","58.5%","79.7%","71.9%","43.9%","62.4%","12.6%","9549"
"Mallex Smith","Mariners","29.3%","68.9%","47.3%","60.8%","80.3%","73.7%","45.6%","62.9%","12.4%","13608"
"Elias Diaz","Pirates","29.4%","72.8%","47.4%","60.4%","88.7%","78.5%","41.6%","61.1%","10.2%","11680"
"Xander Bogaerts","Red Sox","29.4%","57.7%","41.1%","68.6%","89.4%","80.7%","41.3%","57.2%","7.9%","12161"
"Cole Tucker","Pirates","29.4%","74.5%","47.9%","62.0%","83.2%","75.5%","41.0%","58.5%","11.7%","17326"
"Tyler Austin","- - -","29.5%","65.2%","42.6%","44.9%","77.2%","63.1%","36.8%","58.1%","15.7%","11850"
"Jace Peterson","Orioles","29.5%","68.9%","46.4%","53.3%","84.0%","72.8%","42.8%","66.7%","12.6%","12325"
"Brian McCann","Braves","29.5%","65.4%","43.7%","79.5%","86.1%","83.4%","39.5%","53.2%","7.3%","4810"
"Welington Castillo","White Sox","29.6%","61.7%","43.6%","58.2%","82.4%","73.1%","43.7%","62.5%","11.7%","3256"
"Manny Pina","Brewers","29.6%","66.4%","45.2%","64.6%","81.5%","75.1%","42.6%","55.9%","11.2%","2829"
"Ian Desmond","Rockies","29.6%","67.4%","45.5%","59.2%","86.3%","76.1%","42.1%","60.4%","10.9%","6885"
"Jason Kipnis","Indians","29.6%","67.0%","46.0%","63.6%","91.4%","81.3%","43.8%","56.8%","8.6%","9776"
"Phillip Ervin","Reds","29.7%","72.7%","47.9%","57.0%","82.4%","73.3%","42.4%","57.7%","12.8%","14738"
"Danny Jansen","Blue Jays","29.7%","72.0%","47.0%","67.8%","89.3%","81.3%","41.0%","65.6%","8.8%","16535"
"Matt Wieters","Cardinals","29.7%","66.2%","44.3%","70.6%","82.7%","77.8%","40.0%","63.4%","9.8%","4298"
"Dwight Smith Jr.","Orioles","29.7%","66.6%","45.3%","53.1%","86.0%","73.6%","42.4%","61.7%","12.0%","13473"
"Cesar Hernandez","Phillies","29.8%","65.4%","45.5%","73.8%","90.5%","84.4%","44.2%","61.9%","7.1%","10556"
"Chris Taylor","Dodgers","29.8%","74.9%","49.6%","47.9%","81.6%","70.3%","43.9%","62.6%","14.7%","13757"
"Travis Demeritte","Tigers","29.8%","65.5%","46.1%","58.7%","74.6%","69.0%","45.6%","65.1%","14.3%","15958"
"Jesus Aguilar","- - -","29.8%","65.2%","44.1%","65.3%","82.7%","75.6%","40.2%","61.2%","10.7%","11342"
"Mitch Moreland","Red Sox","29.8%","75.2%","48.8%","58.5%","81.1%","73.1%","41.8%","56.7%","13.1%","3086"
"Ryan Zimmerman","Nationals","29.9%","56.2%","40.6%","60.9%","86.6%","75.4%","40.7%","55.3%","10.0%","4220"
"Nate Lowe","Rays","30.0%","67.9%","44.8%","57.8%","89.2%","76.4%","39.1%","55.0%","10.6%","19566"
"Jackie Bradley Jr.","Red Sox","30.0%","71.5%","48.0%","56.5%","76.4%","69.4%","43.4%","61.4%","14.7%","12984"
"Ty France","Padres","30.0%","73.6%","48.9%","63.2%","87.1%","78.8%","43.4%","65.2%","10.4%","17982"
"Marcell Ozuna","Cardinals","30.0%","69.2%","44.9%","57.8%","86.0%","74.3%","37.8%","58.8%","11.5%","10324"
"Tony Kemp","- - -","30.1%","67.0%","46.5%","75.6%","88.0%","83.5%","44.4%","65.2%","7.7%","14894"
"Alex Gordon","Royals","30.1%","72.5%","47.9%","65.5%","88.8%","80.4%","42.1%","59.4%","9.4%","5209"
"Yonder Alonso","- - -","30.1%","72.4%","47.3%","59.2%","87.1%","76.5%","40.5%","53.1%","11.1%","2530"
"Billy McKinney","Blue Jays","30.1%","66.4%","46.2%","56.3%","87.9%","76.4%","44.3%","64.9%","10.9%","15654"
"Hunter Dozier","Royals","30.1%","66.0%","44.7%","50.1%","90.4%","74.3%","40.6%","60.6%","11.5%","15117"
"Joc Pederson","Dodgers","30.2%","68.0%","45.7%","67.9%","84.0%","77.7%","41.2%","57.8%","10.2%","11899"
"Josh Bell","Pirates","30.2%","77.8%","48.1%","66.0%","83.2%","76.5%","37.7%","54.8%","11.3%","13145"
"DJ LeMahieu","Yankees","30.2%","65.8%","45.6%","75.0%","91.8%","85.5%","43.0%","58.3%","6.6%","9874"
"Tucker Barnhart","Reds","30.2%","68.3%","46.3%","63.2%","87.0%","78.0%","42.2%","59.3%","10.2%","10200"
"Luke Maile","Blue Jays","30.3%","66.0%","45.7%","67.4%","86.6%","79.4%","43.1%","63.6%","9.4%","13355"
"Ehire Adrianza","Twins","30.3%","71.2%","48.4%","69.4%","90.5%","83.1%","44.3%","57.2%","8.2%","8418"
"Jason Heyward","Cubs","30.3%","68.0%","45.4%","67.7%","87.8%","79.7%","40.0%","54.5%","9.2%","4940"
"Teoscar Hernandez","Blue Jays","30.3%","72.9%","47.3%","55.6%","77.2%","68.9%","39.8%","65.3%","14.7%","13066"
"Kris Bryant","Cubs","30.5%","76.0%","48.4%","60.3%","82.6%","74.1%","39.4%","58.4%","12.6%","15429"
"Nelson Cruz","Twins","30.5%","72.0%","46.2%","53.6%","80.9%","69.7%","37.8%","54.5%","14.0%","2434"
"Ryon Healy","Mariners","30.5%","67.3%","47.0%","52.9%","90.2%","76.9%","44.9%","61.0%","10.9%","15447"
"Isiah Kiner-Falefa","Rangers","30.6%","59.1%","42.9%","67.3%","91.7%","81.9%","43.3%","63.1%","7.8%","16512"
"Buster Posey","Giants","30.6%","69.3%","47.0%","67.8%","91.1%","82.4%","42.3%","59.8%","8.3%","9166"
"Martin Prado","Marlins","30.6%","59.6%","43.6%","73.7%","96.3%","87.5%","44.7%","65.4%","5.4%","3312"
"Tyler Wade","Yankees","30.6%","68.6%","47.2%","59.7%","87.1%","77.0%","43.6%","64.8%","10.8%","15730"
"Kevan Smith","Angels","30.6%","63.3%","44.8%","68.8%","90.4%","82.1%","43.4%","67.8%","8.0%","12284"
"Max Kepler","Twins","30.6%","75.8%","49.3%","62.1%","92.2%","81.2%","41.4%","62.9%","9.3%","12144"
"Christian Yelich","Brewers","30.6%","71.2%","45.2%","56.8%","87.0%","73.8%","35.9%","54.8%","11.8%","11477"
"Khris Davis","Athletics","30.7%","82.2%","51.9%","48.0%","77.8%","67.4%","41.1%","58.0%","16.9%","9112"
"Yordan Alvarez","Astros","30.7%","63.0%","43.2%","64.1%","84.9%","75.9%","38.8%","53.4%","10.4%","19556"
"Joey Rickard","- - -","30.7%","70.6%","46.6%","69.0%","84.6%","78.4%","39.9%","66.1%","10.1%","13277"
"Corey Seager","Dodgers","30.7%","79.5%","51.1%","57.2%","86.9%","76.5%","41.9%","58.2%","12.0%","13624"
"Ryan O'Hearn","Royals","30.7%","66.8%","45.3%","61.7%","85.5%","75.8%","40.3%","56.2%","10.9%","16442"
"Jonathan Villar","Orioles","30.8%","75.1%","49.1%","63.5%","81.4%","74.9%","41.4%","63.2%","12.3%","10071"
"Tim Beckham","Mariners","30.8%","65.6%","46.2%","50.2%","83.1%","70.8%","44.1%","60.7%","13.5%","7949"
"Tyler Flowers","Braves","30.9%","68.0%","46.9%","46.1%","78.0%","66.0%","43.2%","64.8%","15.9%","9134"
"Adam Frazier","Pirates","30.9%","70.4%","48.0%","77.0%","90.9%","85.8%","43.2%","55.6%","6.8%","15223"
